,Player,Tm,Age,2021 Games,2021 GS,2021 Tgt,2021 Rec,2021 RushingYds,2021 RushingTD,2021 RushingAtt,2021 ReceivingYds,2021 ReceivingTD,2021 FantasyPoints,2019 Games,2019 GS,2019 Tgt,2019 Rec,2019 RushingYds,2019 RushingTD,2019 RushingAtt,2019 ReceivingYds,2019 ReceivingTD,2019 FantasyPoints,2020 Games,2020 GS,2020 Tgt,2020 Rec,2020 RushingYds,2020 RushingTD,2020 RushingAtt,2020 ReceivingYds,2020 ReceivingTD,2020 FantasyPoints,Usage19,Touchdowns19,TotYdsScrm19,Production19,Usage20,Touchdowns20,TotYdsScrm20,Production20,Usage21,Touchdowns21,TotYdsScrm21,Production21,Average Total Usage,Average Total Yards,Average Total Production
131,Mack Hollins,2TM,26.0,16.0,3.0,23.0,10.0,0.0,0.0,0.0,125.0,0.0,22.5,16,2,25.0,16.0,0.0,0.0,0.0,176.0,1.0,22.0,17.0,3.0,28.0,14.0,0.0,0.0,0.0,223.0,4.0,46.0,2.5625,1.0,176.0,69.07317073170732,2.4705882352941178,4.0,223.0,91.88095238095238,2.0625,0.0,125.0,60.60606060606061,2.3651960784313726,174.66666666666666,73.85339457290678
132,Marquez Callaway,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,3,27.0,21.0,0.0,0.0,0.0,213.0,0.0,21.0,17.0,11.0,84.0,46.0,0.0,0.0,0.0,698.0,6.0,106.0,4.363636363636363,0.0,213.0,48.81250000000001,7.647058823529412,6.0,698.0,92.06153846153846,0.0,0.0,0.0,0.0,4.003565062388592,303.6666666666667,46.95801282051283
133,Olabisi Johnson,MIN,22.0,16.0,6.0,45.0,31.0,6.0,0.0,1.0,294.0,3.0,79.0,16,3,19.0,14.0,0.0,0.0,0.0,189.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0625,0.0,189.0,91.63636363636364,0.0,0.0,0.0,0.0,4.75,3.0,300.0,63.78947368421053,2.2708333333333335,163.0,51.80861244019139
134,Gunner Olszewski+,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2,5.0,5.0,23.0,0.0,5.0,62.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7692307692307693,1.0,85.0,111.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25641025641025644,28.333333333333332,37.266666666666666
135,Kenny Stills,HOU,27.0,13.0,5.0,55.0,40.0,0.0,0.0,0.0,561.0,4.0,120.1,10,0,19.0,11.0,0.0,0.0,0.0,144.0,1.0,20.0,13.0,4.0,23.0,6.0,1.0,0.0,1.0,68.0,1.0,13.0,3.0,1.0,144.0,48.333333333333336,2.230769230769231,1.0,69.0,31.379310344827584,7.3076923076923075,4.0,561.0,77.31578947368422,4.17948717948718,258.0,52.34281105061505
136,John Hightower,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,4,29.0,10.0,1.0,0.0,1.0,167.0,0.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,168.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,56.0,18.666666666666668
137,Isaiah Wright,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,6,35.0,27.0,16.0,0.0,3.0,197.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.428571428571429,0.0,213.0,48.096774193548384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4761904761904763,71.0,16.032258064516128
138,Cameron Batson,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,1,13.0,12.0,20.0,0.0,4.0,100.0,1.0,18.0,4.0,0.0,5.0,2.0,15.0,0.0,2.0,15.0,1.0,9.0,2.0833333333333335,1.0,120.0,58.08,1.75,1.0,30.0,17.714285714285715,0.0,0.0,0.0,0.0,1.277777777777778,50.0,25.2647619047619
139,KhaDarel Hodge,CLE,24.0,16.0,1.0,10.0,4.0,0.0,0.0,0.0,76.0,0.0,11.6,9,0,17.0,11.0,0.0,0.0,0.0,180.0,0.0,18.0,16.0,1.0,27.0,13.0,0.0,0.0,0.0,157.0,0.0,18.0,3.111111111111111,0.0,180.0,57.857142857142854,2.5,0.0,157.0,62.8,0.875,0.0,76.0,86.85714285714286,2.1620370370370368,137.66666666666666,69.17142857142856
140,Alshon Jeffery,PHI,29.0,10.0,10.0,73.0,43.0,2.0,1.0,1.0,490.0,4.0,122.2,7,2,13.0,6.0,0.0,0.0,0.0,115.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7142857142857144,1.0,115.0,42.73684210526316,0.0,0.0,0.0,0.0,11.6,5.0,492.0,42.8448275862069,4.771428571428571,202.33333333333334,28.52722323049002
141,Brandon Powell,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,1,18.0,12.0,7.0,0.0,2.0,69.0,2.0,18.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,2.0,76.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,25.333333333333332,13.0
142,Kalif Raymond,TEN,25.0,8.0,1.0,12.0,9.0,-5.0,0.0,1.0,170.0,1.0,29.5,15,3,15.0,9.0,-3.0,0.0,1.0,187.0,0.0,18.0,16.0,14.0,71.0,48.0,28.0,0.0,4.0,576.0,4.0,84.0,1.6,0.0,184.0,115.0,7.4375,4.0,604.0,81.74789915966386,2.625,1.0,165.0,63.23809523809524,3.8874999999999997,317.6666666666667,86.66199813258636
143,Equanimeous St. Brown,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,1,13.0,7.0,7.0,0.0,1.0,117.0,1.0,18.0,13.0,2.0,17.0,9.0,14.0,0.0,3.0,98.0,0.0,11.0,1.6666666666666667,1.0,124.0,75.0,2.0,0.0,112.0,56.0,0.0,0.0,0.0,0.0,1.2222222222222223,78.66666666666667,43.666666666666664
144,JJ Arcega-Whiteside,PHI,23.0,16.0,5.0,22.0,10.0,0.0,0.0,0.0,169.0,1.0,32.9,8,0,8.0,4.0,0.0,0.0,0.0,85.0,0.0,17.0,16.0,2.0,5.0,2.0,0.0,0.0,0.0,36.0,0.0,4.0,1.5,0.0,85.0,56.666666666666664,0.4375,0.0,36.0,82.28571428571429,2.0,1.0,169.0,85.0,1.3125,96.66666666666667,74.65079365079366
145,Dez Bryant,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,11.0,6.0,0.0,0.0,0.0,47.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8333333333333335,2.0,47.0,17.294117647058822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9444444444444445,15.666666666666666,5.764705882352941
